ProdDescr,Plant,Vendor,RespUserPurGrp,POPurMethod,Requisitioner,PricePerUnit
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,9946_JIT39,Spot,24738,315521
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,9946_JIT39,Spot,24738,43565
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,9946_JIT39,Spot,24738,444126
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,9946_JIT39,Spot,24738,387336
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,9946_JIT39,Spot,24738,307212
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,9946_JIT39,Spot,24738,338768
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,9946_JIT39,Spot,24738,337268
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,9946_JIT39,Spot,24738,360473
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,9946_JIT39,Spot,24738,234216
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,9946_JIT39,Spot,24738,255937
143_Liferaft_8_man,plant_XIAH5,vendor_CKIJH2,9946_JIT39,Spot,24738,173825
143_Liferaft_8_man,plant_XIAH5,vendor_CKIJH2,9946_JIT39,Spot,24738,180737
143_Liferaft_8_man,plant_XIAH5,vendor_CKIJH2,9946_JIT39,Spot,24738,128525
143_Liferaft_8_man,plant_XIAH5,vendor_CKIJH2,9946_JIT39,Spot,24738,137771
143_Liferaft_8_man,plant_XIAH5,vendor_CKIJH2,9946_JIT39,Spot,24738,88247
143_Liferaft_8_man,plant_XIAH5,vendor_CKIJH2,9946_JIT39,Spot,24738,89375
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,12505_JIT31,Spot,24738,20
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,12505_JIT31,Spot,24738,20
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,12505_JIT31,Spot,24738,20
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,12505_JIT31,Spot,24738,20
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,12505_JIT31,Spot,24738,25481
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,12505_JIT31,Spot,24738,203552
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,12505_JIT31,Spot,24738,304586
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,12505_JIT31,Spot,24738,347121
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,12505_JIT31,Spot,24738,285903
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,12505_JIT31,Spot,24738,219486
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,12505_JIT31,Spot,24738,386079
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,12505_JIT31,Spot,24738,273887
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,12505_JIT31,Spot,24738,45032
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,12505_JIT31,Spot,24738,451832
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,12505_JIT31,Spot,24738,310001
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,12505_JIT31,Spot,24738,376255
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,12505_JIT31,Spot,24738,320575
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,12505_JIT31,Spot,24738,266723
142_Liferaft_8_man,plant_XIAH5,vendor_CKIJH2,12505_JIT31,Spot,24738,152556
142_Liferaft_8_man,plant_XIAH5,vendor_CKIJH2,12505_JIT31,Spot,24738,20161
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,12505_JIT31,Spot,24738,306517
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,12505_JIT31,Spot,24738,316626
847_Liferaft_16_man1,plant_XIAH5,vendor_CKIJH2,12505_JIT31,Spot,24738,295784
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,12505_JIT31,Spot,24738,487214
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,12505_JIT31,Spot,24738,442134
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,12505_JIT31,Spot,24738,469153
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,9946_JIT39,Spot,24738,380338
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,9946_JIT39,Spot,24738,383014
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,9946_JIT39,Spot,24738,371383
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,9946_JIT39,Spot,24738,380338
142_Liferaft_8_man,plant_XIAH5,vendor_CKIJH2,12505_JIT31,Spot,24738,217938
846_Liferaft_16_man1,plant_XIAH5,vendor_CKIJH2,12505_JIT31,Spot,24738,34607
846_Liferaft_16_man1,plant_XIAH5,vendor_CKIJH2,12505_JIT31,Spot,24738,255562
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,12505_JIT31,Spot,24738,275234
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,12505_JIT31,Spot,24738,374118
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,12505_JIT31,Spot,24738,391224
326_Liferaft_10_man,plant_XIAH5,vendor_CKIJH2,12505_JIT31,Spot,24738,313351
846_Liferaft_16_man1,plant_XIAH5,vendor_CKIJH2,12505_JIT31,Spot,24738,200917
